dakika,pcb_c,tcxo_v,besleme_v,servo_state,locked
0.0,25.293,1.656,11.7,0,0
0.042,26.0535,1.658,11.71,0,0
0.083,26.7923,1.665,11.7,0,0
0.125,27.5101,1.658,11.69,0,0
0.167,28.2074,1.658,11.7,0,0
0.208,28.8849,1.662,11.7,0,0
0.25,29.543,1.66,11.72,0,0
0.292,30.1825,1.656,11.7,0,0
0.333,30.8038,1.665,11.69,0,0
0.375,31.4075,1.66,11.69,0,0
0.417,31.9941,1.656,11.71,0,0
0.458,32.5642,1.66,11.71,0,0
0.5,33.1181,1.664,11.7,0,0
0.542,33.6564,1.656,11.69,0,0
0.583,34.1796,1.662,11.69,0,0
0.625,34.6881,1.662,11.71,0,0
0.667,35.1824,1.657,11.71,0,0
0.708,35.6628,1.657,11.69,0,0
0.75,36.1299,1.666,11.69,0,0
0.792,36.584,1.658,11.7,0,0
0.833,37.0256,1.659,11.7,0,0
0.875,37.4549,1.661,11.71,0,0
0.917,37.8723,1.661,11.7,0,0
0.958,38.2783,1.655,11.68,0,0
1.0,38.6731,1.666,11.71,0,0
1.042,39.0571,1.66,11.71,0,0
1.083,39.4305,1.657,11.7,0,0
1.125,39.7937,1.659,11.69,0,0
1.167,40.147,1.664,11.69,0,0
1.208,40.4906,1.655,11.7,0,0
1.25,40.8248,1.663,11.72,0,0
1.292,41.1499,1.662,11.7,0,0
1.333,41.4661,1.658,11.68,0,0
1.375,41.7736,1.656,11.7,0,0
1.417,42.0727,1.666,11.71,0,0
1.458,42.3635,1.657,11.71,0,0
1.5,42.6464,1.66,11.7,0,0
1.542,42.9214,1.661,11.69,0,0
1.583,43.1889,1.661,11.69,0,0
1.625,43.4489,1.654,11.72,0,0
1.667,43.7017,1.666,11.71,0,0
1.708,43.9473,1.66,11.69,0,0
1.75,44.1861,1.658,11.69,0,0
1.792,44.4182,1.659,11.7,0,0
1.833,44.6437,1.664,11.71,0,0
1.875,44.8628,1.654,11.71,0,0
1.917,45.0756,1.663,11.69,0,0
1.958,45.2823,1.662,11.68,0,0
2.0,45.483,1.658,11.71,2,0
2.042,45.678,1.656,11.71,2,0
2.083,45.8673,1.665,11.7,2,0
2.125,46.0511,1.657,11.69,2,0
2.167,46.2295,1.66,11.69,2,0
2.208,46.4027,1.662,11.7,2,0
2.25,46.5708,1.661,11.72,2,0
2.292,46.734,1.654,11.7,2,0
2.333,46.8924,1.665,11.68,2,0
2.375,47.0461,1.661,11.7,2,0
2.417,47.1954,1.658,11.7,2,0
2.458,47.3402,1.66,11.71,2,0
2.5,47.4809,1.663,11.7,2,0
2.542,47.6174,1.654,11.69,2,0
2.583,47.75,1.662,11.69,2,0
2.625,47.8788,1.663,11.72,2,0
2.667,48.004,1.658,11.7,2,0
2.708,48.1256,1.657,11.69,2,0
2.75,48.2438,1.664,11.7,2,0
2.792,48.3587,1.657,11.69,2,0
2.833,48.4705,1.659,11.71,2,0
2.875,48.5794,1.663,11.71,2,0
2.917,48.6853,1.66,11.69,2,0
2.958,48.7885,1.655,11.69,2,0
3.0,48.889,1.663,11.71,2,0
3.042,48.9871,1.661,11.7,2,0
3.083,49.0827,1.658,11.71,2,0
3.125,49.176,1.661,11.7,2,0
3.167,49.2671,1.662,11.69,2,0
3.208,49.3561,1.655,11.7,2,0
3.25,49.4431,1.661,11.71,2,0
