pcb_c,csac_model_c
44.0,45.32
44.2,45.52
44.4,45.72
44.6,45.92
44.8,46.12
45.0,46.32
45.2,46.52
45.4,46.72
45.6,46.92
45.8,47.12
46.0,47.32
46.2,47.52
46.4,47.72
46.6,47.92
46.8,48.12
47.0,48.32
47.2,48.52
47.4,48.72
47.6,48.92
47.8,49.12
48.0,49.32
48.2,49.52
48.4,49.72
48.6,49.92
48.8,50.12
49.0,50.32
49.2,50.52
49.4,50.72
49.6,50.92
49.8,51.12
50.0,51.32
50.2,51.52
50.4,51.72
50.6,51.92
50.8,52.12
51.0,52.32
51.2,52.52
51.4,52.72
51.6,52.92
51.8,53.12
52.0,53.32
52.2,53.52
52.4,53.72
52.6,53.92
52.8,54.12
53.0,54.32
53.2,54.52
53.4,54.72
53.6,54.92
53.8,55.12
54.0,55.32
54.2,55.52
54.4,55.72
54.6,55.92
54.8,56.12
55.0,56.32
55.2,56.52
55.4,56.72
55.6,56.92
55.8,57.12
56.0,57.32
