saniye,kosu_a,kosu_b,fark
0.0,53.093,53.093,0.0
1.0,53.0926,53.0926,0.0
2.0,53.0921,53.0921,0.0
3.0,53.0915,53.0915,0.0
4.0,53.0908,53.0908,0.0
5.0,53.0899,53.0899,0.0
6.0,53.0889,53.0889,0.0
7.0,53.0878,53.0878,0.0
8.0,53.0866,53.0866,0.0
9.0,53.0853,53.0853,0.0
10.0,53.0838,53.0838,0.0
11.0,53.0823,53.0823,0.0
12.0,53.0806,53.0806,0.0
13.0,53.0789,53.0789,0.0
14.0,53.0771,53.0771,0.0
15.0,53.0751,53.0751,0.0
16.0,53.0731,53.0731,0.0
17.0,53.071,53.071,0.0
18.0,53.0688,53.0688,0.0
19.0,53.0666,53.0666,0.0
20.0,53.0642,53.0642,0.0
21.0,53.0618,53.0618,0.0
22.0,53.0593,53.0593,0.0
23.0,53.0568,53.0568,0.0
24.0,53.0542,53.0542,0.0
25.0,53.0515,53.0515,0.0
26.0,53.0488,53.0488,0.0
27.0,53.0461,53.0461,0.0
28.0,53.0433,53.0433,0.0
29.0,53.0404,53.0404,0.0
30.0,53.0375,53.0375,0.0
31.0,53.0346,53.0346,0.0
32.0,53.0316,53.0316,0.0
33.0,53.0286,53.0286,0.0
34.0,53.0256,53.0256,0.0
35.0,53.0225,53.0225,0.0
36.0,53.0195,53.0195,0.0
37.0,53.0164,53.0164,0.0
38.0,53.0133,53.0133,0.0
39.0,53.0102,53.0102,0.0
40.0,53.007,53.007,0.0
41.0,53.0039,53.0039,0.0
42.0,53.0007,53.0007,0.0
43.0,52.9976,52.9976,0.0
44.0,52.9945,52.9945,0.0
45.0,52.9913,52.9913,0.0
46.0,52.9882,52.9882,0.0
47.0,52.9851,52.9851,0.0
48.0,52.9819,52.9819,0.0
49.0,52.9788,52.9788,0.0
50.0,52.9758,52.9758,0.0
51.0,52.9727,52.9727,0.0
52.0,52.9696,52.9696,0.0
53.0,52.9666,52.9666,0.0
54.0,52.9636,52.9636,0.0
55.0,52.9606,52.9606,0.0
56.0,52.9576,52.9576,0.0
57.0,52.9546,52.9546,0.0
58.0,52.9517,52.9517,0.0
59.0,52.9488,52.9488,0.0
60.0,52.9459,52.9459,0.0
61.0,52.9431,52.9431,0.0
62.0,52.9403,52.9403,0.0
63.0,52.9375,52.9375,0.0
64.0,52.9347,52.9347,0.0
65.0,52.932,52.932,0.0
66.0,52.9293,52.9293,0.0
67.0,52.9267,52.9267,0.0
68.0,52.924,52.924,0.0
69.0,52.9214,52.9214,0.0
70.0,52.9189,52.9189,0.0
71.0,52.9163,52.9163,0.0
72.0,52.9138,52.9138,0.0
73.0,52.9113,52.9113,0.0
74.0,52.9089,52.9089,0.0
75.0,52.9065,52.9065,0.0
76.0,52.9041,52.9041,0.0
77.0,52.9017,52.9017,0.0
78.0,52.8994,52.8994,0.0
79.0,52.8971,52.8971,0.0
