rel_pct,abs_model_ppt
-1.0,-200
-0.975,-195
-0.95,-190
-0.925,-185
-0.9,-180
-0.875,-175
-0.85,-170
-0.825,-165
-0.8,-160
-0.775,-155
-0.75,-150
-0.725,-145
-0.7,-140
-0.675,-135
-0.65,-130
-0.625,-125
-0.6,-120
-0.575,-115
-0.55,-110
-0.525,-105
-0.5,-100
-0.475,-95
-0.45,-90
-0.425,-85
-0.4,-80
-0.375,-75
-0.35,-70
-0.325,-65
-0.3,-60
-0.275,-55
-0.25,-50
-0.225,-45
-0.2,-40
-0.175,-35
-0.15,-30
-0.125,-25
-0.1,-20
-0.075,-15
-0.05,-10
-0.025,-5
0.0,0
0.025,5
0.05,10
0.075,15
0.1,20
0.125,25
0.15,30
0.175,35
0.2,40
0.225,45
0.25,50
0.275,55
0.3,60
0.325,65
0.35,70
0.375,75
0.4,80
0.425,85
0.45,90
0.475,95
0.5,100
0.525,105
0.55,110
0.575,115
0.6,120
0.625,125
0.65,130
0.675,135
0.7,140
0.725,145
0.75,150
0.775,155
0.8,160
0.825,165
0.85,170
0.875,175
0.9,180
0.925,185
0.95,190
0.975,195
1.0,200
