saat,health,bit10_holdover,bit4_faz
0.001,0,0,0
0.016,0,0,0
0.0311,16,1,0
0.0461,16,1,0
0.0611,16,1,0
0.0762,16,1,0
0.0912,16,1,0
0.1062,16,1,0
0.1213,16,1,0
0.1363,16,1,0
0.1514,16,1,0
0.1664,16,1,0
0.1814,16,1,0
0.1965,16,1,0
0.2115,16,1,0
0.2265,16,1,0
0.2416,16,1,0
0.2566,16,1,0
0.2716,16,1,0
0.2867,16,1,0
0.3017,16,1,0
0.3167,16,1,0
0.3318,16,1,0
0.3468,16,1,0
0.3618,16,1,0
0.3769,16,1,0
0.3919,16,1,0
0.4069,16,1,0
0.422,16,1,0
0.437,16,1,0
0.4521,16,1,0
0.4671,16,1,0
0.4821,16,1,0
0.4972,16,1,0
0.5122,16,1,0
0.5272,16,1,0
0.5423,16,1,0
0.5573,16,1,0
0.5723,16,1,0
0.5874,16,1,0
0.6024,16,1,0
0.6174,16,1,0
0.6325,16,1,0
0.6475,16,1,0
0.6625,16,1,0
0.6776,16,1,0
0.6926,16,1,0
0.7076,16,1,0
0.7227,16,1,0
0.7377,16,1,0
0.7528,16,1,0
0.7678,16,1,0
0.7828,16,1,0
0.7979,16,1,0
0.8129,16,1,0
0.8279,16,1,0
0.843,16,1,0
0.858,16,1,0
0.873,16,1,0
0.8881,16,1,0
0.9031,16,1,0
0.9181,16,1,0
0.9332,16,1,0
0.9482,16,1,0
0.9632,16,1,0
0.9783,16,1,0
0.9933,16,1,0
1.0084,16,1,0
1.0234,16,1,0
1.0384,16,1,0
1.0535,16,1,0
1.0685,16,1,0
1.0835,16,1,0
1.0986,16,1,0
1.1136,16,1,0
1.1286,16,1,0
1.1437,16,1,0
1.1587,16,1,0
1.1737,16,1,0
1.1888,16,1,0
1.2038,16,1,0
1.2188,16,1,0
1.2339,16,1,0
1.2489,16,1,0
1.2639,16,1,0
1.279,16,1,0
1.294,16,1,0
1.3091,16,1,0
1.3241,16,1,0
1.3391,16,1,0
1.3542,16,1,0
1.3692,16,1,0
1.3842,16,1,0
1.3993,16,1,0
1.4143,16,1,0
1.4293,16,1,0
1.4444,16,1,0
1.4594,16,1,0
1.4744,16,1,0
1.4895,16,1,0
1.5045,16,1,0
1.5195,16,1,0
1.5346,16,1,0
1.5496,16,1,0
1.5646,16,1,0
1.5797,16,1,0
1.5947,16,1,0
1.6098,16,1,0
1.6248,16,1,0
1.6398,16,1,0
1.6549,16,1,0
1.6699,16,1,0
1.6849,16,1,0
1.7,16,1,0
1.715,16,1,0
1.73,16,1,0
1.7451,16,1,0
1.7601,16,1,0
1.7751,16,1,0
1.7902,16,1,0
1.8052,16,1,0
1.8202,16,1,0
1.8353,16,1,0
1.8503,16,1,0
1.8654,16,1,0
1.8804,16,1,0
1.8954,16,1,0
1.9105,16,1,0
1.9255,16,1,0
1.9405,16,1,0
1.9556,16,1,0
1.9706,16,1,0
1.9856,16,1,0
2.0007,16,1,0
2.0157,16,1,0
2.0307,16,1,0
2.0458,16,1,0
2.0608,16,1,0
2.0758,16,1,0
2.0909,16,1,0
2.1059,16,1,0
2.1209,16,1,0
2.136,16,1,0
2.151,16,1,0
2.1661,16,1,0
2.1811,16,1,0
2.1961,16,1,0
2.2112,16,1,0
2.2262,16,1,0
2.2412,16,1,0
2.2563,16,1,0
2.2713,16,1,0
2.2863,16,1,0
2.3014,16,1,0
2.3164,16,1,0
2.3314,16,1,0
2.3465,16,1,0
2.3615,16,1,0
2.3765,16,1,0
2.3916,16,1,0
2.4066,16,1,0
2.4216,16,1,0
2.4367,16,1,0
2.4517,16,1,0
2.4668,16,1,0
2.4818,16,1,0
2.4968,16,1,0
2.5119,16,1,0
2.5269,16,1,0
2.5419,16,1,0
2.557,16,1,0
2.572,16,1,0
2.587,16,1,0
2.6021,16,1,0
2.6171,16,1,0
2.6321,16,1,0
2.6472,16,1,0
2.6622,16,1,0
2.6772,16,1,0
2.6923,16,1,0
2.7073,16,1,0
2.7224,16,1,0
2.7374,16,1,0
2.7524,20,1,1
2.7675,20,1,1
2.7825,20,1,1
2.7975,20,1,1
2.8126,20,1,1
2.8276,20,1,1
2.8426,20,1,1
2.8577,20,1,1
2.8727,20,1,1
2.8877,20,1,1
2.9028,20,1,1
2.9178,20,1,1
2.9328,20,1,1
2.9479,20,1,1
2.9629,20,1,1
2.9779,20,1,1
2.993,20,1,1
3.008,20,1,1
3.0231,20,1,1
3.0381,20,1,1
3.0531,20,1,1
3.0682,20,1,1
3.0832,20,1,1
3.0982,20,1,1
3.1133,20,1,1
3.1283,20,1,1
3.1433,20,1,1
3.1584,20,1,1
3.1734,20,1,1
3.1884,20,1,1
3.2035,20,1,1
3.2185,20,1,1
3.2335,20,1,1
3.2486,20,1,1
3.2636,20,1,1
3.2786,20,1,1
3.2937,20,1,1
3.3087,20,1,1
3.3238,20,1,1
3.3388,20,1,1
3.3538,20,1,1
3.3689,20,1,1
3.3839,20,1,1
3.3989,20,1,1
3.414,20,1,1
3.429,20,1,1
3.444,20,1,1
3.4591,20,1,1
3.4741,20,1,1
3.4891,20,1,1
3.5042,20,1,1
3.5192,20,1,1
3.5342,20,1,1
3.5493,20,1,1
3.5643,20,1,1
3.5794,20,1,1
3.5944,20,1,1
3.6094,20,1,1
3.6245,20,1,1
3.6395,20,1,1
3.6545,20,1,1
3.6696,20,1,1
3.6846,20,1,1
3.6996,20,1,1
