saniye,temp_c,volt,volt_psu
0.0,53.093,1.656,11.7
1.0,53.0926,1.658,11.71
2.0,53.0921,1.659,11.72
3.0,53.0915,1.658,11.71
4.0,53.0908,1.661,11.71
5.0,53.0899,1.665,11.7
6.0,53.0889,1.664,11.7
7.0,53.0878,1.66,11.69
8.0,53.0866,1.656,11.69
9.0,53.0853,1.654,11.69
10.0,53.0838,1.658,11.7
11.0,53.0823,1.663,11.7
12.0,53.0806,1.663,11.69
13.0,53.0789,1.662,11.7
14.0,53.0771,1.662,11.71
15.0,53.0751,1.66,11.72
16.0,53.0731,1.658,11.71
17.0,53.071,1.657,11.71
18.0,53.0688,1.655,11.7
19.0,53.0666,1.658,11.69
20.0,53.0642,1.665,11.69
21.0,53.0618,1.666,11.68
22.0,53.0593,1.662,11.69
23.0,53.0568,1.659,11.7
24.0,53.0542,1.656,11.71
25.0,53.0515,1.656,11.71
26.0,53.0488,1.66,11.71
27.0,53.0461,1.66,11.71
28.0,53.0433,1.66,11.71
29.0,53.0404,1.664,11.7
30.0,53.0375,1.664,11.7
31.0,53.0346,1.661,11.7
32.0,53.0316,1.658,11.69
33.0,53.0286,1.654,11.69
34.0,53.0256,1.655,11.69
35.0,53.0225,1.662,11.69
36.0,53.0195,1.665,11.7
37.0,53.0164,1.663,11.71
38.0,53.0133,1.661,11.72
39.0,53.0102,1.659,11.72
40.0,53.007,1.657,11.71
41.0,53.0039,1.658,11.7
42.0,53.0007,1.658,11.7
43.0,52.9976,1.657,11.69
44.0,52.9945,1.663,11.69
45.0,52.9913,1.666,11.69
46.0,52.9882,1.663,11.7
47.0,52.9851,1.66,11.7
48.0,52.982,1.656,11.7
49.0,52.9788,1.654,11.7
50.0,52.9758,1.659,11.7
51.0,52.9727,1.663,11.71
52.0,52.9696,1.662,11.71
53.0,52.9666,1.662,11.71
54.0,52.9636,1.663,11.7
55.0,52.9606,1.661,11.7
56.0,52.9576,1.659,11.69
57.0,52.9546,1.656,11.68
58.0,52.9517,1.655,11.68
59.0,52.9488,1.66,11.69
60.0,52.9459,1.666,11.71
61.0,52.9431,1.665,11.71
62.0,52.9403,1.662,11.71
63.0,52.9375,1.659,11.71
64.0,52.9347,1.656,11.7
65.0,52.932,1.657,11.7
66.0,52.9293,1.66,11.7
67.0,52.9267,1.659,11.69
68.0,52.924,1.661,11.69
69.0,52.9214,1.665,11.7
70.0,52.9189,1.664,11.69
71.0,52.9163,1.66,11.69
72.0,52.9138,1.657,11.69
73.0,52.9113,1.654,11.7
74.0,52.9089,1.657,11.71
75.0,52.9065,1.663,11.72
76.0,52.9041,1.664,11.71
77.0,52.9017,1.662,11.71
78.0,52.8994,1.662,11.7
79.0,52.8971,1.66,11.69
80.0,52.8948,1.658,11.68
81.0,52.8926,1.658,11.68
82.0,52.8904,1.656,11.69
83.0,52.8882,1.658,11.7
84.0,52.886,1.664,11.71
85.0,52.8838,1.666,11.71
86.0,52.8817,1.663,11.7
87.0,52.8796,1.659,11.71
88.0,52.8775,1.655,11.71
89.0,52.8754,1.655,11.71
90.0,52.8733,1.66,11.7
91.0,52.8712,1.661,11.7
92.0,52.8692,1.661,11.69
93.0,52.8672,1.663,11.69
94.0,52.8651,1.664,11.68
95.0,52.8631,1.661,11.69
96.0,52.8611,1.658,11.7
97.0,52.8591,1.655,11.71
98.0,52.8571,1.655,11.72
99.0,52.8551,1.661,11.71
100.0,52.8531,1.666,11.71
101.0,52.8511,1.664,11.7
102.0,52.8491,1.661,11.7
103.0,52.847,1.659,11.69
104.0,52.845,1.657,11.69
105.0,52.843,1.658,11.69
106.0,52.841,1.659,11.7
107.0,52.8389,1.658,11.7
108.0,52.8369,1.662,11.7
109.0,52.8348,1.666,11.7
110.0,52.8327,1.664,11.71
111.0,52.8306,1.66,11.71
112.0,52.8285,1.656,11.71
113.0,52.8264,1.654,11.71
114.0,52.8242,1.658,11.7
115.0,52.8221,1.663,11.69
116.0,52.8199,1.662,11.69
117.0,52.8177,1.662,11.68
118.0,52.8154,1.662,11.69
119.0,52.8132,1.66,11.7
120.0,52.8109,1.658,11.71
121.0,52.8086,1.657,11.71
122.0,52.8063,1.655,11.71
123.0,52.8039,1.659,11.71
124.0,52.8016,1.665,11.71
125.0,52.7992,1.665,11.7
126.0,52.7967,1.662,11.7
127.0,52.7943,1.659,11.7
128.0,52.7918,1.656,11.69
129.0,52.7893,1.657,11.69
130.0,52.7868,1.66,11.69
131.0,52.7842,1.66,11.69
132.0,52.7816,1.66,11.69
133.0,52.779,1.664,11.71
134.0,52.7764,1.664,11.72
135.0,52.7737,1.661,11.72
136.0,52.771,1.657,11.71
