dakika,pcb_c,servo_state,locked
0.0,25.00000273366653,0,0
0.167,25.459494358406705,0,0
0.333,25.91139294437238,0,0
0.5,26.355822439616446,0,0
0.667,26.792906249572592,0,0
0.833,27.222765784849503,0,0
1.0,27.645520155917524,0,0
1.167,28.06128717884482,0,0
1.333,28.470182095553334,0,0
1.5,28.872318654178088,0,0
1.667,29.267808401023803,0,0
1.833,29.656761316546028,0,0
2.0,30.03928544377735,2,0
2.167,30.415486928065338,2,0
2.333,30.7854704227463,2,0
2.5,31.149338591459305,2,0
2.667,31.507192548342893,2,0
2.833,31.859131664673566,2,0
3.0,32.20525377396944,2,0
3.167,32.545654987998454,2,0
3.333,32.8804298980415,2,0
3.5,33.2096713996747,2,0
3.667,33.53347105059486,2,0
3.833,33.85191876403225,2,0
4.0,34.16510299973268,2,0
4.167,34.47311078587582,2,0
4.333,34.77602762055757,2,0
4.5,35.07393765080564,2,0
4.667,35.36692369090518,2,0
4.833,35.655067069136436,2,0
5.0,35.93844788480949,2,0
5.167,36.217144855222706,2,0
5.333,36.49123534225259,2,0
5.5,36.76079551201053,2,0
5.667,37.02590021776462,2,0
5.833,37.28662315443772,2,0
6.0,37.54303674544052,2,0
6.167,37.795212142127404,2,0
6.333,38.043219471133085,2,0
6.5,38.28712759954872,2,0
6.667,38.52700430498888,2,0
6.833,38.762916150042585,2,0
7.0,38.99492873866643,2,0
7.167,39.223106496505245,2,0
7.333,39.44751280773674,2,0
7.5,39.66821003077664,2,0
7.667,39.8852594061632,2,0
7.833,40.098721292450264,2,0
8.0,40.30865498491141,2,0
8.167,40.515118757823416,2,0
8.333,40.71816996459429,2,0
8.5,40.917865050253866,2,0
8.667,41.11425946646851,2,0
8.833,41.307407768505584,2,0
9.0,41.497363609913165,2,0
9.167,41.684179757424175,2,0
9.333,41.86790812383435,2,0
9.5,42.048599691316866,2,0
9.667,42.22630472542404,2,0
9.833,42.401072536046016,2,0
10.0,42.57295167179455,2,0
10.167,42.74198991235584,2,0
10.333,42.908234213038384,2,0
10.5,43.071730720633916,2,0
10.667,43.23252486865366,2,0
10.833,43.39066130749042,2,0
11.0,43.5461839965776,2,0
11.167,43.69913612171642,2,0
11.333,43.84956017059181,2,0
11.5,43.99749794329985,2,0
11.667,44.14299049060098,2,0
11.833,44.286078272043774,2,0
12.0,44.42680102048343,2,0
12.167,44.56519782647716,2,0
12.333,44.701307134472074,2,0
12.5,44.83516675348449,2,0
12.667,44.96681388065795,2,0
12.833,45.096285059155356,2,0
13.0,45.22362040905551,2,0
13.167,45.34884288810987,2,0
13.333,45.4719996703028,2,0
13.5,45.59312085013593,2,0
13.667,45.71224009677942,2,0
13.833,45.829390452023404,2,0
14.0,45.944604493828614,2,0
14.167,46.05791422626025,2,0
14.333,46.169351102310124,2,0
14.5,46.27894607793981,2,0
14.667,46.3867296188223,2,0
14.833,46.49273166498416,2,0
15.0,46.596981640918926,2,0
15.167,46.69950851631235,2,0
15.333,46.800340761511876,2,0
15.5,46.89950641612394,2,0
15.667,46.99703299680029,2,0
15.833,47.09294759537255,2,0
16.0,47.18727687458488,2,0
16.167,47.280047027949784,2,0
16.333,47.37128382555082,2,0
16.5,47.461012620427844,2,0
16.667,47.549258319876905,2,0
16.833,47.636045437600984,2,0
17.0,47.72139809904866,2,0
17.167,47.80534001341459,2,0
17.333,47.88789448164819,2,0
17.5,47.96908444454136,2,0
17.667,48.04893244746518,2,0
17.833,48.12746068690386,2,0
18.0,48.204690984028375,2,0
18.167,48.280644753770545,2,0
18.333,48.35534312565436,2,0
18.5,48.42880684204905,2,0
18.667,48.50105630284996,2,0
18.833,48.572111599313054,2,0
19.0,48.641992441050846,2,0
19.167,48.710718260999,2,0
19.333,48.778308149761315,2,0
19.5,48.84478086922321,2,0
19.667,48.910154884788795,2,0
19.833,48.974448375778245,2,0
20.0,49.037679182456976,6,1
20.167,49.09986487582763,6,1
20.333,49.161022724028804,6,1
20.5,49.221169733941494,6,1
20.667,49.280322589392505,6,1
20.833,49.338497740006744,6,1
21.0,49.395711339957614,6,1
21.167,49.45197928785971,6,1
21.333,49.50731719731869,6,1
21.5,49.561740457073576,6,1
21.667,49.61526418477432,6,1
21.833,49.66790323254206,6,1
22.0,49.71967223859815,6,1
22.167,49.77058558329606,6,1
22.333,49.82065739441044,6,1
22.5,49.869901601131644,6,1
22.667,49.91833186782455,6,1
22.833,49.965961652617985,6,1
23.0,50.01280418631399,6,1
23.167,50.05887247646015,6,1
23.333,50.10417933380685,6,1
23.5,50.148737325757885,6,1
23.667,50.19255884330012,6,1
23.833,50.235656059139956,6,1
24.0,50.27804093638372,6,1
24.167,50.3197252490929,6,1
24.333,50.36072058484834,6,1
24.5,50.40103832730365,6,1
24.667,50.44068968002317,6,1
24.833,50.47968564572885,6,1
25.0,50.518037068681785,6,1
25.167,50.55575460210984,6,1
25.333,50.59284871580449,6,1
25.5,50.62932971411021,6,1
25.667,50.66520773816858,6,1
25.833,50.7004927541487,6,1
26.0,50.7351945566136,6,1
26.167,50.76932278534952,6,1
26.333,50.802886927465266,6,1
26.5,50.83589630310811,6,1
26.667,50.86836008176132,6,1
26.833,50.90028728134993,6,1
27.0,50.93168677385965,6,1
27.167,50.962567275293594,6,1
27.333,50.992937363921804,6,1
27.5,51.02280548511145,6,1
27.667,51.05217992380572,6,1
27.833,51.081068848646595,6,1
28.0,51.1094802815592,6,1
28.167,51.137422114790915,6,1
28.333,51.16490211014175,6,1
28.5,51.19192790380057,6,1
28.667,51.21850699770077,6,1
28.833,51.244646777820066,6,1
29.0,51.270354502827146,6,1
29.167,51.29563731906373,6,1
29.333,51.320502249570445,6,1
29.5,51.34495619403416,6,1
29.667,51.369005955157625,6,1
29.833,51.392658206308795,6,1
30.0,51.41591951782779,6,1
30.167,51.43879635599197,6,1
30.333,51.46129507551131,6,1
30.5,51.483421919480655,6,1
30.667,51.50518304108196,6,1
30.833,51.526584485102354,6,1
31.0,51.547632192244606,6,1
31.167,51.56833201138741,6,1
31.333,51.588689690594784,6,1
31.5,51.60871089096562,6,1
31.667,51.6284011680161,6,1
31.833,51.64776599149269,6,1
32.0,51.666810744510606,6,1
32.167,51.68554071730624,6,1
32.333,51.70396110719744,6,1
32.5,51.72207703844697,6,1
32.667,51.73989353612689,6,1
32.833,51.757415556506665,6,1
33.0,51.774647959916884,6,1
33.167,51.7915955384605,6,1
33.333,51.80826299982244,6,1
33.5,51.82465496900111,6,1
33.667,51.84077600598454,6,1
33.833,51.85663058249275,6,1
34.0,51.87222310747329,6,1
34.167,51.887557912205395,6,1
34.333,51.90263925189301,6,1
34.5,51.917471320456755,6,1
34.667,51.93205823793691,6,1
34.833,51.94640405343131,6,1
35.0,51.96051275345185,6,1
35.167,51.97438825579657,6,1
35.333,51.98803441898932,6,1
35.5,52.00145502825941,6,1
35.667,52.01465381700925,6,1
35.833,52.02763444637355,6,1
36.0,52.04040052735925,6,1
36.167,52.0529556010748,6,1
36.333,52.06530316014423,6,1
36.5,52.0774466307889,6,1
36.667,52.0893893863339,6,1
36.833,52.101134747841506,6,1
37.0,52.11268597328875,6,1
37.167,52.1240462749183,6,1
37.333,52.13521880838573,6,1
37.5,52.14620667500984,6,1
37.667,52.15701292817306,6,1
37.833,52.167640568627924,6,1
38.0,52.17809255069069,6,1
38.167,52.18837177770466,6,1
38.333,52.19848110201834,6,1
38.5,52.20842333588676,6,1
38.667,52.21820123809761,6,1
38.833,52.22781752580024,6,1
39.0,52.23727487024751,6,1
39.167,52.24657589761799,6,1
39.333,52.255723194357564,6,1
39.5,52.26471929778132,6,1
39.667,52.273566710463726,6,1
39.833,52.28226788653677,6,1
40.0,52.29082524653081,6,1
40.167,52.29924116495639,6,1
40.333,52.30751797966484,6,1
40.5,52.31565799147997,6,1
40.667,52.32366346152782,6,1
40.833,52.33153661121963,6,1
41.0,52.33927963074184,6,1
41.167,52.346894667885266,6,1
41.333,52.3543838402908,6,1
41.5,52.36174922756439,6,1
41.667,52.36899287641265,6,1
41.833,52.3761167968516,6,1
42.0,52.383122970643875,6,1
42.167,52.390013341874294,6,1
42.333,52.396789825285644,6,1
42.5,52.40345430261709,6,1
42.667,52.41000862713811,6,1
42.833,52.416454616914386,6,1
43.0,52.422794064490226,6,1
43.167,52.42902873083234,6,1
43.333,52.435160345977565,6,1
43.5,52.44119061504678,6,1
43.667,52.44712121312335,6,1
43.833,52.45295378644761,6,1
44.0,52.4586899552455,6,1
44.167,52.46433131408136,6,1
44.333,52.46987943000741,6,1
44.5,52.475335843092964,6,1
44.667,52.48070206907071,6,1
44.833,52.4859796001901,6,1
45.0,52.4911699003546,6,1
45.167,52.49627441342407,6,1
45.333,52.5012945553095,6,1
45.5,52.50623172253542,6,1
45.667,52.511087285075234,6,1
45.833,52.51586259175183,6,1
46.0,52.5205589704908,6,1
46.167,52.52517772399314,6,1
46.333,52.529720137123434,6,1
46.5,52.53418746987506,6,1
46.667,52.538580964554015,6,1
46.833,52.542901841581795,6,1
47.0,52.54715129994417,6,1
47.167,52.551330521773636,6,1
47.333,52.555440666727655,6,1
47.5,52.55948287656014,6,1
47.667,52.5634582749416,6,1
47.833,52.567367965767346,6,1
48.0,52.57121303546904,6,1
48.167,52.57499455137731,6,1
48.333,52.578713564325255,6,1
48.5,52.58237110703324,6,1
48.667,52.58596819659711,6,1
48.833,52.5895058311433,6,1
49.0,52.5929849933885,6,1
49.167,52.596406650484894,6,1
49.333,52.59977175256397,6,1
49.5,52.60308123439793,6,1
49.667,52.60633601563135,6,1
49.833,52.60953699942264,6,1
50.0,52.612685075922954,6,1
50.167,52.615781119602495,6,1
50.333,52.618825989572116,6,1
50.5,52.6218205325698,6,1
50.667,52.62476558041731,6,1
50.833,52.6276619503262,6,1
51.0,52.63051044773852,6,1
51.167,52.63331186390764,6,1
51.333,52.63606697618921,6,1
51.5,52.63877655074343,6,1
51.667,52.64144134023377,6,1
51.833,52.6440620841038,6,1
52.0,52.64663951140326,6,1
52.167,52.64917433706959,6,1
52.333,52.651667266251444,6,1
52.5,52.654118990447834,6,1
52.667,52.65653019168988,6,1
52.833,52.658901538806575,6,1
53.0,52.66123369146939,6,1
53.167,52.66352729658048,6,1
53.333,52.66578299218474,6,1
53.5,52.66800140397634,6,1
53.667,52.67018314908256,6,1
53.833,52.6723288326849,6,1
54.0,52.67443905167878,6,1
54.167,52.6765143914055,6,1
54.333,52.678555429191924,6,1
54.5,52.68056273118958,6,1
54.667,52.682536855798304,6,1
54.833,52.68447835060896,6,1
55.0,52.68638775571488,6,1
55.167,52.688265600754754,6,1
55.333,52.69011240793239,6,1
55.5,52.69192869025243,6,1
55.667,52.69371495170901,6,1
55.833,52.69547168903776,6,1
56.0,52.69719939022378,6,1
56.167,52.69889853468113,6,1
56.333,52.70056959491936,6,1
56.5,52.702213035124245,6,1
56.667,52.70382931148884,6,1
56.833,52.7054188731549,6,1
57.0,52.70698216152253,6,1
57.167,52.70851961131369,6,1
57.333,52.71003164914251,6,1
57.5,52.71151869503678,6,1
57.667,52.71298116237179,6,1
57.833,52.71441945739055,6,1
58.0,52.71583397920077,6,1
58.167,52.71722512130015,6,1
58.333,52.71859326970515,6,1
58.5,52.71993880460606,6,1
58.667,52.721262099771224,6,1
58.833,52.722563522662085,6,1
59.0,52.723843435180584,6,1
59.167,52.72510219235416,6,1
59.333,52.72634014422649,6,1
59.5,52.727557634674874,6,1
59.667,52.72875500153668,6,1
59.833,52.729932577783764,6,1
60.0,52.731090690522315,6,1
